,index,Survived,Age,SibSp,Parch,Fare,weight,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
76,310,1,24.0,0,0,83.1583,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
77,521,0,22.0,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
78,367,1,,0,0,7.2292,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
79,879,1,56.0,0,1,83.1583,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
80,70,0,32.0,0,0,10.5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
81,66,1,29.0,0,0,10.5,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
82,198,1,,0,0,7.75,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
83,191,0,19.0,0,0,13.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
84,437,1,24.0,2,3,18.75,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
85,23,1,28.0,0,0,35.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
86,743,0,24.0,1,0,16.1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
87,152,0,55.5,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
88,159,0,,8,2,69.55,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
89,396,0,31.0,0,0,7.8542,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
90,404,0,20.0,0,0,8.6625,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
91,206,0,32.0,1,0,15.85,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
92,666,0,25.0,0,0,13.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
93,650,0,,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
94,108,0,38.0,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
95,278,0,7.0,4,1,29.125,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
96,213,0,30.0,0,0,13.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
97,297,0,2.0,1,2,151.55,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
98,616,0,34.0,1,1,14.4,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
99,783,0,,1,2,23.45,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
100,88,1,23.0,3,2,263.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
101,141,1,22.0,0,0,7.75,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
102,598,0,,0,0,7.225,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
103,259,1,50.0,0,1,26.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
104,135,0,23.0,0,0,15.0458,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
105,619,0,26.0,0,0,10.5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
106,237,1,8.0,0,2,26.25,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
107,497,0,,0,0,15.1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
108,81,1,29.0,0,0,9.5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
109,65,1,,1,1,15.2458,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
110,815,0,,0,0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
111,436,0,21.0,2,2,34.375,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
112,696,0,44.0,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
113,224,1,38.0,1,0,90.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
114,318,1,31.0,0,2,164.8667,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
115,80,0,22.0,0,0,9.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
116,461,0,34.0,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
117,157,0,30.0,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
118,488,0,30.0,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
119,890,0,32.0,0,0,7.75,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
120,227,0,20.5,0,0,7.25,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
121,681,1,27.0,0,0,76.7292,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
122,574,0,16.0,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
123,697,1,,0,0,7.7333,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
124,189,0,36.0,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
125,284,0,,0,0,26.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
126,875,1,15.0,0,0,7.225,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
127,668,0,43.0,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
128,302,0,19.0,0,0,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
129,721,0,17.0,1,0,7.0542,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
130,109,1,,1,0,24.15,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
131,474,0,22.0,0,0,9.8375,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
132,247,1,24.0,0,2,14.5,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
133,516,1,34.0,0,0,10.5,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
134,569,1,32.0,0,0,7.8542,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
135,581,1,39.0,1,1,110.8833,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
136,304,0,,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
137,884,0,25.0,0,0,7.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
138,717,1,27.0,0,0,10.5,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
139,781,1,17.0,1,0,57.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
140,311,1,18.0,2,2,262.375,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
141,393,1,23.0,1,0,113.275,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
142,443,1,28.0,0,0,13.0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
143,287,0,22.0,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
144,365,0,30.0,0,0,7.25,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
145,156,1,16.0,0,0,7.7333,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
146,232,0,59.0,0,0,13.5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
147,319,1,40.0,1,1,134.5,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
148,139,0,24.0,0,0,79.2,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
149,105,0,28.0,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
150,647,1,56.0,0,0,35.5,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
151,52,1,49.0,1,0,76.7292,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
152,99,0,34.0,1,0,26.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
153,831,1,0.83,1,1,18.75,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
154,95,0,,0,0,8.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
155,705,0,39.0,0,0,26.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
156,877,0,19.0,0,0,7.8958,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
157,841,0,16.0,0,0,10.5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
158,47,1,,0,0,7.75,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
159,382,0,32.0,0,0,7.925,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
160,517,0,,0,0,24.15,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
161,361,0,29.0,1,0,27.7208,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
162,734,0,23.0,0,0,13.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
163,599,1,49.0,1,0,56.9292,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
164,405,0,34.0,1,0,21.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
165,677,1,18.0,0,0,9.8417,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
166,422,0,29.0,0,0,7.875,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
167,210,0,24.0,0,0,7.05,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
168,801,1,31.0,1,1,26.25,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
169,336,0,29.0,1,0,66.6,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
170,54,0,65.0,0,1,61.9792,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
171,678,0,43.0,1,6,46.9,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
172,441,0,20.0,0,0,9.5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
173,28,1,,0,0,7.8792,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
174,255,1,29.0,0,2,15.2458,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
175,602,0,,0,0,42.4,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
176,153,0,40.5,0,2,14.5,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
177,888,0,,1,2,23.45,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
