,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,weight
113,0,3,female,20.0,1,0,9.825,S,1
114,0,3,female,17.0,0,0,14.4583,C,1
115,0,3,male,21.0,0,0,7.925,S,1
117,0,2,male,29.0,1,0,21.0,S,1
118,0,1,male,24.0,0,1,247.5208,C,1
119,0,3,female,2.0,4,2,31.275,S,1
120,0,2,male,21.0,2,0,73.5,S,1
121,0,3,male,,0,0,8.05,S,1
122,0,2,male,32.5,1,0,30.0708,C,1
123,1,2,female,32.5,0,0,13.0,S,1
125,1,3,male,12.0,1,0,11.2417,C,1
126,0,3,male,,0,0,7.75,Q,1
127,1,3,male,24.0,0,0,7.1417,S,1
128,1,3,female,,1,1,22.3583,C,1
129,0,3,male,45.0,0,0,6.975,S,1
130,0,3,male,33.0,0,0,7.8958,C,1
131,0,3,male,20.0,0,0,7.05,S,1
132,0,3,female,47.0,1,0,14.5,S,1
133,1,2,female,29.0,1,0,26.0,S,1
134,0,2,male,25.0,0,0,13.0,S,1
136,1,1,female,19.0,0,2,26.2833,S,1
137,0,1,male,37.0,1,0,53.1,S,1
138,0,3,male,16.0,0,0,9.2167,S,1
140,0,3,female,,0,2,15.2458,C,1
142,1,3,female,24.0,1,0,15.85,S,1
143,0,3,male,19.0,0,0,6.75,Q,1
144,0,2,male,18.0,0,0,11.5,S,1
145,0,2,male,19.0,1,1,36.75,S,1
146,1,3,male,27.0,0,0,7.7958,S,1
147,0,3,female,9.0,2,2,34.375,S,1
148,0,2,male,36.5,0,2,26.0,S,1
149,0,2,male,42.0,0,0,13.0,S,1
150,0,2,male,51.0,0,0,12.525,S,1
151,1,1,female,22.0,1,0,66.6,S,1
154,0,3,male,,0,0,7.3125,S,1
155,0,1,male,51.0,0,1,61.3792,C,1
158,0,3,male,,0,0,8.6625,S,1
160,0,3,male,44.0,0,1,16.1,S,1
161,1,2,female,40.0,0,0,15.75,S,1
162,0,3,male,26.0,0,0,7.775,S,1
163,0,3,male,17.0,0,0,8.6625,S,1
164,0,3,male,1.0,4,1,39.6875,S,1
166,1,1,female,,0,1,55.0,S,1
167,0,3,female,45.0,1,4,27.9,S,1
168,0,1,male,,0,0,25.925,S,1
170,0,1,male,61.0,0,0,33.5,S,1
171,0,3,male,4.0,4,1,29.125,Q,1
172,1,3,female,1.0,1,1,11.1333,S,1
173,0,3,male,21.0,0,0,7.925,S,1
174,0,1,male,56.0,0,0,30.6958,C,1
175,0,3,male,18.0,1,1,7.8542,S,1
176,0,3,male,,3,1,25.4667,S,1
177,0,1,female,50.0,0,0,28.7125,C,1
178,0,2,male,30.0,0,0,13.0,S,1
179,0,3,male,36.0,0,0,0.0,S,1
182,0,3,male,9.0,4,2,31.3875,S,1
183,1,2,male,1.0,2,1,39.0,S,1
185,0,1,male,,0,0,50.0,S,1
186,1,3,female,,1,0,15.5,Q,1
187,1,1,male,45.0,0,0,26.55,S,1
188,0,3,male,40.0,1,1,15.5,Q,1
190,1,2,female,32.0,0,0,13.0,S,1
192,1,3,female,19.0,1,0,7.8542,S,1
193,1,2,male,3.0,1,1,26.0,S,1
195,1,1,female,58.0,0,0,146.5208,C,1
196,0,3,male,,0,0,7.75,Q,1
197,0,3,male,42.0,0,1,8.4042,S,1
200,0,3,male,28.0,0,0,9.5,S,1
201,0,3,male,,8,2,69.55,S,1
202,0,3,male,34.0,0,0,6.4958,S,1
203,0,3,male,45.5,0,0,7.225,C,1
204,1,3,male,18.0,0,0,8.05,S,1
205,0,3,female,2.0,0,1,10.4625,S,1
207,1,3,male,26.0,0,0,18.7875,C,1
208,1,3,female,16.0,0,0,7.75,Q,1
209,1,1,male,40.0,0,0,31.0,C,1
211,1,2,female,35.0,0,0,21.0,S,1
212,0,3,male,22.0,0,0,7.25,S,1
214,0,3,male,,1,0,7.75,Q,1
215,1,1,female,31.0,1,0,113.275,C,1
216,1,3,female,27.0,0,0,7.925,S,1
217,0,2,male,42.0,1,0,27.0,S,1
218,1,1,female,32.0,0,0,76.2917,C,1
219,0,2,male,30.0,0,0,10.5,S,1
220,1,3,male,16.0,0,0,8.05,S,1
221,0,2,male,27.0,0,0,13.0,S,1
222,0,3,male,51.0,0,0,8.05,S,1
223,0,3,male,,0,0,7.8958,S,1
225,0,3,male,22.0,0,0,9.35,S,1
228,0,2,male,18.0,0,0,13.0,S,1
229,0,3,female,,3,1,25.4667,S,1
230,1,1,female,35.0,1,0,83.475,S,1
231,0,3,male,29.0,0,0,7.775,S,1
233,1,3,female,5.0,4,2,31.3875,S,1
234,0,2,male,24.0,0,0,10.5,S,1
235,0,3,female,,0,0,7.55,S,1
236,0,2,male,44.0,1,0,26.0,S,1
238,0,2,male,19.0,0,0,10.5,S,1
239,0,2,male,33.0,0,0,12.275,S,1
240,0,3,female,,1,0,14.4542,C,1
241,1,3,female,,1,0,15.5,Q,1
242,0,2,male,29.0,0,0,10.5,S,1
243,0,3,male,22.0,0,0,7.125,S,1
244,0,3,male,30.0,0,0,7.225,C,1
245,0,1,male,44.0,2,0,90.0,Q,1
246,0,3,female,25.0,0,0,7.775,S,1
248,1,1,male,37.0,1,1,52.5542,S,1
249,0,2,male,54.0,1,0,26.0,S,1
250,0,3,male,,0,0,7.25,S,1
251,0,3,female,29.0,1,1,10.4625,S,1
252,0,1,male,62.0,0,0,26.55,S,1
257,1,1,female,30.0,0,0,86.5,S,1
260,0,3,male,,0,0,7.75,Q,1
261,1,3,male,3.0,4,2,31.3875,S,1
262,0,1,male,52.0,1,1,79.65,S,1
263,0,1,male,40.0,0,0,0.0,S,1
264,0,3,female,,0,0,7.75,Q,1
265,0,2,male,36.0,0,0,10.5,S,1
267,1,3,male,25.0,1,0,7.775,S,1
268,1,1,female,58.0,0,1,153.4625,S,1
269,1,1,female,35.0,0,0,135.6333,S,1
270,0,1,male,,0,0,31.0,S,1
271,1,3,male,25.0,0,0,0.0,S,1
272,1,2,female,41.0,0,1,19.5,S,1
274,1,3,female,,0,0,7.75,Q,1
275,1,1,female,63.0,1,0,77.9583,S,1
276,0,3,female,45.0,0,0,7.75,S,1
277,0,2,male,,0,0,0.0,S,1
279,1,3,female,35.0,1,1,20.25,S,1
280,0,3,male,65.0,0,0,7.75,Q,1
281,0,3,male,28.0,0,0,7.8542,S,1
282,0,3,male,16.0,0,0,9.5,S,1
285,0,3,male,33.0,0,0,8.6625,C,1
286,1,3,male,30.0,0,0,9.5,S,1
288,1,2,male,42.0,0,0,13.0,S,1
289,1,3,female,22.0,0,0,7.75,Q,1
290,1,1,female,26.0,0,0,78.85,S,1
292,0,2,male,36.0,0,0,12.875,C,1
293,0,3,female,24.0,0,0,8.85,S,1
294,0,3,male,24.0,0,0,7.8958,S,1
295,0,1,male,,0,0,27.7208,C,1
296,0,3,male,23.5,0,0,7.2292,C,1
298,1,1,male,,0,0,30.5,S,1
299,1,1,female,50.0,0,1,247.5208,C,1
300,1,3,female,,0,0,7.75,Q,1
301,1,3,male,,2,0,23.25,Q,1
303,1,2,female,,0,0,12.35,Q,1
305,1,1,male,0.92,1,2,151.55,S,1
306,1,1,female,,0,0,110.8833,C,1
307,1,1,female,17.0,1,0,108.9,C,1
308,0,2,male,30.0,1,0,24.0,C,1
309,1,1,female,30.0,0,0,56.9292,C,1
312,0,2,female,26.0,1,1,26.0,S,1
313,0,3,male,28.0,0,0,7.8958,S,1
316,1,2,female,24.0,1,0,26.0,S,1
317,0,2,male,54.0,0,0,14.0,S,1
320,0,3,male,22.0,0,0,7.25,S,1
321,0,3,male,27.0,0,0,7.8958,S,1
322,1,2,female,30.0,0,0,12.35,Q,1
323,1,2,female,22.0,1,1,29.0,S,1
324,0,3,male,,8,2,69.55,S,1
325,1,1,female,36.0,0,0,135.6333,C,1
326,0,3,male,61.0,0,0,6.2375,S,1
327,1,2,female,36.0,0,0,13.0,S,1
328,1,3,female,31.0,1,1,20.525,S,1
329,1,1,female,16.0,0,1,57.9792,C,1
330,1,3,female,,2,0,23.25,Q,1
331,0,1,male,45.5,0,0,28.5,S,1
333,0,3,male,16.0,2,0,18.0,S,1
337,1,1,female,41.0,0,0,134.5,C,1
338,1,3,male,45.0,0,0,8.05,S,1
339,0,1,male,45.0,0,0,35.5,S,1
340,1,2,male,2.0,1,1,26.0,S,1
341,1,1,female,24.0,3,2,263.0,S,1
342,0,2,male,28.0,0,0,13.0,S,1
343,0,2,male,25.0,0,0,13.0,S,1
344,0,2,male,36.0,0,0,13.0,S,1
345,1,2,female,24.0,0,0,13.0,S,1
346,1,2,female,40.0,0,0,13.0,S,1
347,1,3,female,,1,0,16.1,S,1
348,1,3,male,3.0,1,1,15.9,S,1
349,0,3,male,42.0,0,0,8.6625,S,1
351,0,1,male,,0,0,35.0,S,1
352,0,3,male,15.0,1,1,7.2292,C,1
353,0,3,male,25.0,1,0,17.8,S,1
354,0,3,male,,0,0,7.225,C,1
356,1,1,female,22.0,0,1,55.0,S,1
357,0,2,female,38.0,0,0,13.0,S,1
358,1,3,female,,0,0,7.8792,Q,1
359,1,3,female,,0,0,7.8792,Q,1
360,0,3,male,40.0,1,4,27.9,S,1
362,0,3,female,45.0,0,1,14.4542,C,1
363,0,3,male,35.0,0,0,7.05,S,1
364,0,3,male,,1,0,15.5,Q,1
366,1,1,female,60.0,1,0,75.25,C,1
368,1,3,female,,0,0,7.75,Q,1
369,1,1,female,24.0,0,0,69.3,C,1
370,1,1,male,25.0,1,0,55.4417,C,1
372,0,3,male,19.0,0,0,8.05,S,1
373,0,1,male,22.0,0,0,135.6333,C,1
374,0,3,female,3.0,3,1,21.075,S,1
375,1,1,female,,1,0,82.1708,C,1
376,1,3,female,22.0,0,0,7.25,S,1
377,0,1,male,27.0,0,2,211.5,C,1
378,0,3,male,20.0,0,0,4.0125,C,1
379,0,3,male,19.0,0,0,7.775,S,1
380,1,1,female,42.0,0,0,227.525,C,1
381,1,3,female,1.0,0,2,15.7417,C,1
383,1,1,female,35.0,1,0,52.0,S,1
385,0,2,male,18.0,0,0,73.5,S,1
386,0,3,male,1.0,5,2,46.9,S,1
387,1,2,female,36.0,0,0,13.0,S,1
388,0,3,male,,0,0,7.7292,Q,1
389,1,2,female,17.0,0,0,12.0,C,1
390,1,1,male,36.0,1,2,120.0,S,1
391,1,3,male,21.0,0,0,7.7958,S,1
392,0,3,male,28.0,2,0,7.925,S,1
394,1,3,female,24.0,0,2,16.7,S,1
395,0,3,male,22.0,0,0,7.7958,S,1
397,0,2,male,46.0,0,0,26.0,S,1
398,0,2,male,23.0,0,0,10.5,S,1
399,1,2,female,28.0,0,0,12.65,S,1
400,1,3,male,39.0,0,0,7.925,S,1
401,0,3,male,26.0,0,0,8.05,S,1
402,0,3,female,21.0,1,0,9.825,S,1
403,0,3,male,28.0,1,0,15.85,S,1
407,1,2,male,3.0,1,1,18.75,S,1
408,0,3,male,21.0,0,0,7.775,S,1
409,0,3,female,,3,1,25.4667,S,1
410,0,3,male,,0,0,7.8958,S,1
411,0,3,male,,0,0,6.8583,Q,1
412,1,1,female,33.0,1,0,90.0,Q,1
413,0,2,male,,0,0,0.0,S,1
414,1,3,male,44.0,0,0,7.925,S,1
415,0,3,female,,0,0,8.05,S,1
416,1,2,female,34.0,1,1,32.5,S,1
417,1,2,female,18.0,0,2,13.0,S,1
418,0,2,male,30.0,0,0,13.0,S,1
419,0,3,female,10.0,0,2,24.15,S,1
420,0,3,male,,0,0,7.8958,C,1
421,0,3,male,21.0,0,0,7.7333,Q,1
424,0,3,male,18.0,1,1,20.2125,S,1
425,0,3,male,,0,0,7.25,S,1
426,1,2,female,28.0,1,0,26.0,S,1
428,0,3,male,,0,0,7.75,Q,1
429,1,3,male,32.0,0,0,8.05,S,1
430,1,1,male,28.0,0,0,26.55,S,1
431,1,3,female,,1,0,16.1,S,1
432,1,2,female,42.0,1,0,26.0,S,1
433,0,3,male,17.0,0,0,7.125,S,1
434,0,1,male,50.0,1,0,55.9,S,1
435,1,1,female,14.0,1,2,120.0,S,1
438,0,1,male,64.0,1,4,263.0,S,1
439,0,2,male,31.0,0,0,10.5,S,1
440,1,2,female,45.0,1,1,26.25,S,1
442,0,3,male,25.0,1,0,7.775,S,1
444,1,3,male,,0,0,8.1125,S,1
445,1,1,male,4.0,0,2,81.8583,S,1
446,1,2,female,13.0,0,1,19.5,S,1
447,1,1,male,34.0,0,0,26.55,S,1
448,1,3,female,5.0,2,1,19.2583,C,1
449,1,1,male,52.0,0,0,30.5,S,1
450,0,2,male,36.0,1,2,27.75,S,1
451,0,3,male,,1,0,19.9667,S,1
452,0,1,male,30.0,0,0,27.75,C,1
453,1,1,male,49.0,1,0,89.1042,C,1
455,1,3,male,29.0,0,0,7.8958,C,1
456,0,1,male,65.0,0,0,26.55,S,1
457,1,1,female,,1,0,51.8625,S,1
458,1,2,female,50.0,0,0,10.5,S,1
459,0,3,male,,0,0,7.75,Q,1
462,0,1,male,47.0,0,0,38.5,S,1
463,0,2,male,48.0,0,0,13.0,S,1
464,0,3,male,,0,0,8.05,S,1
465,0,3,male,38.0,0,0,7.05,S,1
466,0,2,male,,0,0,0.0,S,1
468,0,3,male,,0,0,7.725,Q,1
469,1,3,female,0.75,2,1,19.2583,C,1
470,0,3,male,,0,0,7.25,S,1
472,1,2,female,33.0,1,2,27.75,S,1
473,1,2,female,23.0,0,0,13.7917,C,1
476,0,2,male,34.0,1,0,21.0,S,1
477,0,3,male,29.0,1,0,7.0458,S,1
478,0,3,male,22.0,0,0,7.5208,S,1
479,1,3,female,2.0,0,1,12.2875,S,1
481,0,2,male,,0,0,0.0,S,1
482,0,3,male,50.0,0,0,8.05,S,1
483,1,3,female,63.0,0,0,9.5875,S,1
484,1,1,male,25.0,1,0,91.0792,C,1
485,0,3,female,,3,1,25.4667,S,1
486,1,1,female,35.0,1,0,90.0,S,1
487,0,1,male,58.0,0,0,29.7,C,1
489,1,3,male,9.0,1,1,15.9,S,1
490,0,3,male,,1,0,19.9667,S,1
491,0,3,male,21.0,0,0,7.25,S,1
492,0,1,male,55.0,0,0,30.5,S,1
493,0,1,male,71.0,0,0,49.5042,C,1
494,0,3,male,21.0,0,0,8.05,S,1
495,0,3,male,,0,0,14.4583,C,1
496,1,1,female,54.0,1,0,78.2667,C,1
498,0,1,female,25.0,1,2,151.55,S,1
499,0,3,male,24.0,0,0,7.7958,S,1
500,0,3,male,17.0,0,0,8.6625,S,1
501,0,3,female,21.0,0,0,7.75,Q,1
502,0,3,female,,0,0,7.6292,Q,1
503,0,3,female,37.0,0,0,9.5875,S,1
504,1,1,female,16.0,0,0,86.5,S,1
505,0,1,male,18.0,1,0,108.9,C,1
506,1,2,female,33.0,0,2,26.0,S,1
507,1,1,male,,0,0,26.55,S,1
508,0,3,male,28.0,0,0,22.525,S,1
509,1,3,male,26.0,0,0,56.4958,S,1
510,1,3,male,29.0,0,0,7.75,Q,1
511,0,3,male,,0,0,8.05,S,1
512,1,1,male,36.0,0,0,26.2875,S,1
513,1,1,female,54.0,1,0,59.4,C,1
514,0,3,male,24.0,0,0,7.4958,S,1
515,0,1,male,47.0,0,0,34.0208,S,1
518,1,2,female,36.0,1,0,26.0,S,1
519,0,3,male,32.0,0,0,7.8958,S,1
522,0,3,male,,0,0,7.225,C,1
523,1,1,female,44.0,0,1,57.9792,C,1
524,0,3,male,,0,0,7.2292,C,1
526,1,2,female,50.0,0,0,10.5,S,1
527,0,1,male,,0,0,221.7792,S,1
528,0,3,male,39.0,0,0,7.925,S,1
529,0,2,male,23.0,2,1,11.5,S,1
530,1,2,female,2.0,1,1,26.0,S,1
531,0,3,male,,0,0,7.2292,C,1
532,0,3,male,17.0,1,1,7.2292,C,1
533,1,3,female,,0,2,22.3583,C,1
534,0,3,female,30.0,0,0,8.6625,S,1
535,1,2,female,7.0,0,2,26.25,S,1
536,0,1,male,45.0,0,0,26.55,S,1
537,1,1,female,30.0,0,0,106.425,C,1
539,1,1,female,22.0,0,2,49.5,C,1
540,1,1,female,36.0,0,2,71.0,S,1
541,0,3,female,9.0,4,2,31.275,S,1
543,1,2,male,32.0,1,0,26.0,S,1
544,0,1,male,50.0,1,0,106.425,C,1
545,0,1,male,64.0,0,0,26.0,S,1
546,1,2,female,19.0,1,0,26.0,S,1
547,1,2,male,,0,0,13.8625,C,1
548,0,3,male,33.0,1,1,20.525,S,1
549,1,2,male,8.0,1,1,36.75,S,1
550,1,1,male,17.0,0,2,110.8833,C,1
551,0,2,male,27.0,0,0,26.0,S,1
552,0,3,male,,0,0,7.8292,Q,1
553,1,3,male,22.0,0,0,7.225,C,1
554,1,3,female,22.0,0,0,7.775,S,1
555,0,1,male,62.0,0,0,26.55,S,1
556,1,1,female,48.0,1,0,39.6,C,1
557,0,1,male,,0,0,227.525,C,1
558,1,1,female,39.0,1,1,79.65,S,1
559,1,3,female,36.0,1,0,17.4,S,1
560,0,3,male,,0,0,7.75,Q,1
562,0,2,male,28.0,0,0,13.5,S,1
563,0,3,male,,0,0,8.05,S,1
564,0,3,female,,0,0,8.05,S,1
566,0,3,male,19.0,0,0,7.8958,S,1
567,0,3,female,29.0,0,4,21.075,S,1
568,0,3,male,,0,0,7.2292,C,1
570,1,2,male,62.0,0,0,10.5,S,1
571,1,1,female,53.0,2,0,51.4792,S,1
572,1,1,male,36.0,0,0,26.3875,S,1
573,1,3,female,,0,0,7.75,Q,1
575,0,3,male,19.0,0,0,14.5,S,1
576,1,2,female,34.0,0,0,13.0,S,1
577,1,1,female,39.0,1,0,55.9,S,1
578,0,3,female,,1,0,14.4583,C,1
579,1,3,male,32.0,0,0,7.925,S,1
580,1,2,female,25.0,1,1,30.0,S,1
582,0,2,male,54.0,0,0,26.0,S,1
583,0,1,male,36.0,0,0,40.125,C,1
584,0,3,male,,0,0,8.7125,C,1
585,1,1,female,18.0,0,2,79.65,S,1
586,0,2,male,47.0,0,0,15.0,S,1
587,1,1,male,60.0,1,1,79.2,C,1
588,0,3,male,22.0,0,0,8.05,S,1
589,0,3,male,,0,0,8.05,S,1
590,0,3,male,35.0,0,0,7.125,S,1
592,0,3,male,47.0,0,0,7.25,S,1
593,0,3,female,,0,2,7.75,Q,1
594,0,2,male,37.0,1,0,26.0,S,1
595,0,3,male,36.0,1,1,24.15,S,1
596,1,2,female,,0,0,33.0,S,1
597,0,3,male,49.0,0,0,0.0,S,1
600,1,2,female,24.0,2,1,27.0,S,1
603,0,3,male,44.0,0,0,8.05,S,1
604,1,1,male,35.0,0,0,26.55,C,1
605,0,3,male,36.0,1,0,15.55,S,1
606,0,3,male,30.0,0,0,7.8958,S,1
608,1,2,female,22.0,1,2,41.5792,C,1
609,1,1,female,40.0,0,0,153.4625,S,1
610,0,3,female,39.0,1,5,31.275,S,1
611,0,3,male,,0,0,7.05,S,1
612,1,3,female,,1,0,15.5,Q,1
613,0,3,male,,0,0,7.75,Q,1
614,0,3,male,35.0,0,0,8.05,S,1
615,1,2,female,24.0,1,2,65.0,S,1
617,0,3,female,26.0,1,0,16.1,S,1
618,1,2,female,4.0,2,1,39.0,S,1
620,0,3,male,27.0,1,0,14.4542,C,1
621,1,1,male,42.0,1,0,52.5542,S,1
622,1,3,male,20.0,1,1,15.7417,C,1
623,0,3,male,21.0,0,0,7.8542,S,1
624,0,3,male,21.0,0,0,16.1,S,1
625,0,1,male,61.0,0,0,32.3208,S,1
626,0,2,male,57.0,0,0,12.35,Q,1
627,1,1,female,21.0,0,0,77.9583,S,1
628,0,3,male,26.0,0,0,7.8958,S,1
629,0,3,male,,0,0,7.7333,Q,1
630,1,1,male,80.0,0,0,30.0,S,1
632,1,1,male,32.0,0,0,30.5,C,1
633,0,1,male,,0,0,0.0,S,1
634,0,3,female,9.0,3,2,27.9,S,1
635,1,2,female,28.0,0,0,13.0,S,1
637,0,2,male,31.0,1,1,26.25,S,1
638,0,3,female,41.0,0,5,39.6875,S,1
639,0,3,male,,1,0,16.1,S,1
640,0,3,male,20.0,0,0,7.8542,S,1
642,0,3,female,2.0,3,2,27.9,S,1
643,1,3,male,,0,0,56.4958,S,1
644,1,3,female,0.75,2,1,19.2583,C,1
645,1,1,male,48.0,1,0,76.7292,C,1
646,0,3,male,19.0,0,0,7.8958,S,1
648,0,3,male,,0,0,7.55,S,1
649,1,3,female,23.0,0,0,7.55,S,1
651,1,2,female,18.0,0,1,23.0,S,1
652,0,3,male,21.0,0,0,8.4333,S,1
653,1,3,female,,0,0,7.8292,Q,1
654,0,3,female,18.0,0,0,6.75,Q,1
655,0,2,male,24.0,2,0,73.5,S,1
657,0,3,female,32.0,1,1,15.5,Q,1
658,0,2,male,23.0,0,0,13.0,S,1
659,0,1,male,58.0,0,2,113.275,C,1
660,1,1,male,50.0,2,0,133.65,S,1
661,0,3,male,40.0,0,0,7.225,C,1
662,0,1,male,47.0,0,0,25.5875,S,1
663,0,3,male,36.0,0,0,7.4958,S,1
664,1,3,male,20.0,1,0,7.925,S,1
665,0,2,male,32.0,2,0,73.5,S,1
667,0,3,male,,0,0,7.775,S,1
669,1,1,female,,1,0,52.0,S,1
670,1,2,female,40.0,1,1,39.0,S,1
671,0,1,male,31.0,1,0,52.0,S,1
672,0,2,male,70.0,0,0,10.5,S,1
673,1,2,male,31.0,0,0,13.0,S,1
675,0,3,male,18.0,0,0,7.775,S,1
676,0,3,male,24.5,0,0,8.05,S,1
679,1,1,male,36.0,0,1,512.3292,C,1
680,0,3,female,,0,0,8.1375,Q,1
682,0,3,male,20.0,0,0,9.225,S,1
683,0,3,male,14.0,5,2,46.9,S,1
684,0,2,male,60.0,1,1,39.0,S,1
685,0,2,male,25.0,1,2,41.5792,C,1
687,0,3,male,19.0,0,0,10.1708,S,1
688,0,3,male,18.0,0,0,7.7958,S,1
689,1,1,female,15.0,0,1,211.3375,S,1
690,1,1,male,31.0,1,0,57.0,S,1
691,1,3,female,4.0,0,1,13.4167,C,1
692,1,3,male,,0,0,56.4958,S,1
693,0,3,male,25.0,0,0,7.225,C,1
695,0,2,male,52.0,0,0,13.5,S,1
698,0,1,male,49.0,1,1,110.8833,C,1
699,0,3,male,42.0,0,0,7.65,S,1
700,1,1,female,18.0,1,0,227.525,C,1
702,0,3,female,18.0,0,1,14.4542,C,1
703,0,3,male,25.0,0,0,7.7417,Q,1
704,0,3,male,26.0,1,0,7.8542,S,1
706,1,2,female,45.0,0,0,13.5,S,1
707,1,1,male,42.0,0,0,26.2875,S,1
708,1,1,female,22.0,0,0,151.55,S,1
709,1,3,male,,1,1,15.2458,C,1
710,1,1,female,24.0,0,0,49.5042,C,1
711,0,1,male,,0,0,26.55,S,1
712,1,1,male,48.0,1,0,52.0,S,1
713,0,3,male,29.0,0,0,9.4833,S,1
714,0,2,male,52.0,0,0,13.0,S,1
715,0,3,male,19.0,0,0,7.65,S,1
716,1,1,female,38.0,0,0,227.525,C,1
718,0,3,male,,0,0,15.5,Q,1
719,0,3,male,33.0,0,0,7.775,S,1
720,1,2,female,6.0,0,1,33.0,S,1
722,0,2,male,34.0,0,0,13.0,S,1
723,0,2,male,50.0,0,0,13.0,S,1
724,1,1,male,27.0,1,0,53.1,S,1
725,0,3,male,20.0,0,0,8.6625,S,1
726,1,2,female,30.0,3,0,21.0,S,1
727,1,3,female,,0,0,7.7375,Q,1
729,0,3,female,25.0,1,0,7.925,S,1
730,1,1,female,29.0,0,0,211.3375,S,1
731,0,3,male,11.0,0,0,18.7875,C,1
732,0,2,male,,0,0,0.0,S,1
733,0,2,male,23.0,0,0,13.0,S,1
735,0,3,male,28.5,0,0,16.1,S,1
736,0,3,female,48.0,1,3,34.375,S,1
